section,subsection,metric,chart_type,project_or_scope,sector,priority,likely_sources,source_relationship,availability_status,notes
Infra,LayerZero,Messages by timeframe,line,LayerZero,Infra,P1,"LayerZero Scan,Dune,Token Terminal",mixed,needs_source_map,"Good infra metric."
Infra,LayerZero,Value routed by asset and network,stacked_bar,LayerZero,Infra,P1,"LayerZero Scan,Dune",mixed,needs_source_map,"Requires asset/network taxonomy."
Infra,LayerZero,Zero network testnet stats,line,LayerZero,Infra,P2,"Zero network sources,official testnet pages",native,unknown,"Not live yet per outline."
AI,Virtuals,Active agents,line,Virtuals,AI,P2,"Virtuals dashboards,Dune,official app",mixed,needs_source_map,"Needs source discovery."
AI,Virtuals,x402 volume,line,Virtuals,AI,P2,"Virtuals dashboards,Dune,official app",mixed,needs_source_map,"Need definition and live data status."
AI,Virtuals,Agent transactions,line,Virtuals,AI,P2,"Virtuals dashboards,Dune,official app",mixed,needs_source_map,"Potentially high editorial value."
AI,Virtuals,AI projects using platform,line,Virtuals,AI,P2,"Virtuals dashboards,official disclosures",mixed,needs_source_map,"Could be count or curated list."
AI,Virtuals,Funds raised for builders,line,Virtuals,AI,P2,"Virtuals disclosures,project announcements",mixed,hard,"May require manual tracking."
AI,Virtuals,aGDP,line,Virtuals,AI,P2,"Virtuals dashboards,official app",native,needs_source_map,"Need definition and source."
AI,Virtuals,Agent revenue generated,line,Virtuals,AI,P2,"Virtuals dashboards,Dune,official app",mixed,needs_source_map,"Need source discovery."
