source_name,source_type,free_access,auth_required,verified_status,verified_date,working_base_or_endpoint,metrics_supported,starter_projects_covered,rate_or_quota_notes,implementation_priority,notes
CoinMarketCap Basic API,market_data,free_signup,api_key_required,docs_verified_not_live,2026-06-04,https://pro-api.coinmarketcap.com/,"price,market cap,volume,latest listings,metadata","listed tradeable tokens",15k call credits/month and 50 requests/min; personal use only on free Basic,P2,"Good backup if user wants another key; licensing makes it less attractive than CoinGecko for Ian-facing work."
Dune API,query_engine,free_signup,api_key_required,docs_verified_not_live,2026-06-04,https://api.dune.com/,"custom SQL metrics, active wallets, sector share, project-specific dashboards","all projects with Dune tables/dashboards",Free query engine and API access available with limitations/spend controls,P1,"Best route for active users/wallets when public dashboards/tables exist; requires query work and a free Dune key."
The Graph Subgraphs,subgraph_indexing,free_signup,api_key_required,docs_verified_not_live,2026-06-04,https://gateway.thegraph.com/api/{API_KEY}/subgraphs/id/{SUBGRAPH_ID},"protocol events, swaps, pools, lending positions, entity histories","Uniswap,Aave,Curve,Aerodrome,Euler and other EVM projects with maintained subgraphs",Free plan includes 100k monthly queries per docs,P1,"Strong fallback for active wallets and protocol-specific histories, but requires per-subgraph schema work."
Etherscan API,block_explorer,free_signup,api_key_required,docs_verified_not_live,2026-06-04,https://api.etherscan.io/,"transactions, token transfers, logs, contract ABI, balances","Ethereum/EVM deployments for most EVM projects",Free tier 3 calls/sec and 100k calls/day on selected chains per docs,P2,"Useful as raw verification/backfill, not ideal as primary dashboard source."
Alchemy,blockchain_rpc,free_signup,api_key_required,docs_verified_not_live,2026-06-04,https://www.alchemy.com/pricing,"RPC, logs, token API, transfers, prices, webhooks","EVM chains and Solana projects depending supported networks",Free plan lists 30M compute units/month and 25 requests/sec,P2,"Use if we need reliable raw-chain reads beyond public RPC; not a normalized analytics source."
Solana Public RPC,blockchain_rpc,free,no,live_verified,2026-06-04,https://api.mainnet-beta.solana.com,"raw Solana account/state/transaction reads","Jupiter,Kamino",shared public endpoint may return 429/403 and is not for production,P2,"Okay for spot checks only; use Helius free tier for repeatable Solana ingestion."
Helius,solana_rpc_and_data,free_signup,api_key_required,docs_verified_not_live,2026-06-04,https://www.helius.dev/docs/billing/plans-and-rate-limits/,"Solana RPC, DAS, parsed/enhanced transactions, token/account data","Jupiter,Kamino","Free plan lists 1M credits/month, 10 RPC req/sec, 2 DAS/enhanced req/sec",P1,"Best free Solana infrastructure option if active wallets or transaction parsing become required."
Aave API,project_native,free,no,live_verified,2026-06-04,https://api.aave.com/graphql,"Aave markets, reserves, protocol app data where exposed","Aave",undocumented quota; public GraphQL responds,P1,"Good native candidate for lending utilization and reserve stats; still needs schema mapping."
Aave Protocol Subgraphs,project_native_subgraph,free_signup_or_public_subgraph,api_key_likely_required_for_graph_network,docs_verified_not_live,2026-06-04,https://github.com/aave/protocol-subgraphs,"supply,borrow,repay,liquidation,market events","Aave",depends on The Graph plan,P2,"Official subgraph repo lists deployments; use when Aave API lacks history."
Hyperliquid Info API,project_native,free,no,live_verified,2026-06-04,https://api.hyperliquid.xyz/info,"mids,markets,order book,open interest-like market/user/vault/staking endpoints","Hyperliquid",method weights/rate limits vary,P0,"Best native source for Hyperliquid market/product data; read-only info endpoint needs no auth for public data."
Pendle API,project_native,free,no,live_verified,2026-06-04,https://api-v2.pendle.finance/core/v2/markets/all?limit=1,"markets,TVL,volume,underlying APY,asset prices,sPENDLE/governance data","Pendle",compute-unit costs shown in docs; public endpoints live,P0,"High-value native source for PT/YT markets, APY, volume, and ve/sPENDLE context."
Morpho API,project_native,free,no,live_verified,2026-06-04,https://api.morpho.org/graphql,"markets,vaults,positions,APY,TVL,utilization,fees,rewards,historical timeseries","Morpho","GraphQL complexity limit 1,000,000 per docs",P0,"Best native source for Morpho lending utilization and vault/curator detail."
Euler Subgraphs,project_native_subgraph,free,no,docs_verified_not_live,2026-06-04,https://docs.euler.finance/developers/data-querying/subgraphs,"vaults,positions,deposits,borrows,rates,rewards via Goldsky subgraphs/lens contracts","Euler",public Goldsky endpoints listed in docs,P1,"Likely best free Euler source; needs schema smoke test per network during implementation."
Kamino API,project_native,free,no_for_basic_public_endpoints,live_verified,2026-06-04,https://api.kamino.finance/kvaults/summary,"Earn vaults, vault metrics/history, user metrics, global summary","Kamino",unauthenticated users are rate-limited; contact Kamino if more requests needed,P0,"Best native Solana source for Kamino vault metrics; lending APIs need endpoint-by-endpoint review."
Centrifuge API,project_native,free,no,live_verified,2026-06-04,https://api.centrifuge.io,"pools,tokens,vaults,holdings,token prices,total issuance","Centrifuge",default 100 rows max 1000 per request,P0,"Best native source for tokenized asset pools and issuance."
Maple GraphQL API,project_native,free,no,live_verified,2026-06-04,https://api.maple.finance/v2/graphql,"AUM,APY,loans,collateral,pool data","Maple",not yet quota-classified,P0,"Best native source for Maple/Syrup product metrics; docs include GraphQL use for AUM/APY/loans/collateral."
Ethena Public API,project_native_limited,free,whitelist_required_for_mint_redeem_actions,live_verified_limited,2026-06-04,https://public.api.ethena.fi/asset-availability,"mint/redeem availability, RFQ data for whitelisted users","Ethena",whitelist required for actual mint/redeem interactions,P2,"Useful for operational checks, but product dashboard should prefer DefiLlama stablecoins/yields plus Ethena docs/disclosures unless a public analytics endpoint is found."
Sky Protocol Docs/Contracts,project_native_contracts,free,no_for_docs_contract_reads,docs_verified_not_live,2026-06-04,https://developers.sky.money/quick-start/protocol-token-routes/,"USDS/sUSDS token routes, ERC-4626 contract interaction, savings-rate contract reads","Sky",raw contract reads depend on RPC provider,P1,"No single dashboard API found; combine DefiLlama stablecoins/yields with Sky contract reads for SSR/sUSDS."
LayerZero Scan API,project_native,free,no,live_verified,2026-06-04,https://scan.layerzero-api.com/v1/messages/latest,"crosschain messages, transaction status, pathways, wallet/OApp messages, monthly message stats","LayerZero",not yet quota-classified,P0,"Best native source for LayerZero messages and activity."
Uniswap Subgraphs,project_native_subgraph,free_signup,api_key_required_for_graph_network,docs_verified_not_live,2026-06-04,https://developers.uniswap.org/docs/ecosystem/subgraphs/concepts/v3/queries,"factory aggregates,pools,swaps,tokens,positions,time series","Uniswap",uses The Graph free plan if queried through network,P1,"Useful for pool-level Uniswap details and active wallets, but DefiLlama handles dashboard-level volume/TVL first."
Curve APIs/Subgraphs,project_native_or_subgraph,unknown_or_indirect,unknown,needs_verification,2026-06-04,,"pool/liquidity/gauge/veCRV metrics if source found","Curve",unknown,P2,"Use DefiLlama and The Graph/Dune first; official clean API still needs verification."
Aerodrome Subgraph/API,project_native_or_subgraph,unknown_or_indirect,unknown,needs_verification,2026-06-04,,"pools,volume,veAERO,emissions,bribes if source found","Aerodrome",unknown,P2,"Use DefiLlama/DEX APIs first; native veAERO/emissions source still needs verification."
Ondo Native API,project_native,unknown,unknown,needs_verification,2026-06-04,,"OUSG/USDY/Global Markets product data if source found","Ondo",unknown,P2,"No clean documented public API verified; use DefiLlama/RWA.xyz if API access is granted and project disclosures."
RWA.xyz API,rwa_aggregator,possibly_free_or_request_access,api_key_required,docs_verified_not_live,2026-06-04,https://api.rwa.xyz,"RWA tokens, protocols, networks, market metrics","Ondo,Centrifuge,Maple,Sky tokenization context",API key requires account/API Tools access or request,P2,"Excellent fit for tokenization metrics if access is granted; not assumed freely available without approval."
EtherFi Native API,project_native,unknown,unknown,needs_verification,2026-06-04,,"restaking, liquid staking, card/user metrics if public source exists","EtherFi",unknown,P2,"No clean public API verified; use DefiLlama plus possible Dune/The Graph sources."
Falcon Native API,project_native,not_verified,no_clean_api_found,public_page_only,2026-06-04,https://www.falconfin.us/,"TVL,USDf supply,sUSDf APY visible on public site","Falcon",not applicable,P2,"Public site exposes headline metrics, but no documented API found; use DefiLlama stablecoins/yields and official disclosures first."
Canton Native/API,project_native_or_third_party,unknown_or_keyed,api_key_likely_required,docs_verified_not_live,2026-06-04,https://api.ccview.io/,"Canton transfer activity, parties, prices, network activity","Canton",requires API key per CC View site,P2,"Official Canton docs explain token/network; CC View appears to be keyed third-party API, not verified as free."
Virtuals Native API,project_native,not_verified,no_clean_api_found,public_page_only,2026-06-04,https://www.virtuals.io/,"aGDP,agents,agent revenue if public endpoint found","Virtuals",not applicable,P2,"No clean public API verified; use CoinGecko/CoinPaprika/DEX APIs for token data and keep product metrics in source discovery."
